DOMINIO,UBIGEO,CONGLOME,VIVIENDA,HOGAR,TrabajaPerú,FACTOR07,TuvoTrabajo,Educacion,Sexo,Edad,Situación de Vulnerabilidad
Costa Norte,060109,016037,069,11,0,104.173187255859,1,Primaria Completa,Hombre,63,Vulnerable No Pobre
Costa Norte,060109,016037,069,11,0,104.173187255859,1,Primaria Completa,Mujer,69,Vulnerable No Pobre
Costa Norte,060109,016037,071,11,0,104.173187255859,1,Secundaria Incompleta,Hombre,51,Vulnerable No Pobre
Costa Norte,060109,016037,075,11,0,104.173187255859,1,Superior No Universitaria Completa,Mujer,31,Pobre No Extremo
Costa Norte,060109,016037,075,11,0,104.173187255859,0,Superior No Universitaria Completa,Hombre,36,Pobre No Extremo
Costa Norte,060109,016037,153,11,0,104.173187255859,1,Primaria Completa,Hombre,47,Pobre No Extremo
Costa Norte,060109,016037,153,11,0,104.173187255859,1,Primaria Completa,Mujer,36,Pobre No Extremo
Costa Norte,060109,016037,154,11,0,104.173187255859,1,Sin Nivel,Mujer,83,Pobre No Extremo
Costa Norte,060109,016037,155,11,0,104.173187255859,1,Sin Nivel,Hombre,71,Vulnerable No Pobre
Costa Norte,060109,016037,155,11,0,104.173187255859,1,Primaria Incompleta,Mujer,62,Vulnerable No Pobre
Costa Norte,060109,016037,155,11,0,104.173187255859,1,Secundaria Completa,Hombre,26,Vulnerable No Pobre
Costa Norte,060109,016037,156,11,0,104.173187255859,0,Primaria Completa,Mujer,70,Pobre No Extremo
Costa Norte,060109,016037,156,11,0,104.173187255859,0,Primaria Completa,Hombre,48,Pobre No Extremo
Costa Norte,060109,016037,157,11,0,104.173187255859,1,Superior No Universitaria Incompleta,Mujer,36,Vulnerable No Pobre
Costa Norte,060109,016038,020,11,0,90.5339584350586,1,Sin Nivel,Hombre,70,Pobre Extremo
Costa Norte,060109,016038,020,11,0,90.5339584350586,1,Sin Nivel,Mujer,66,Pobre Extremo
Costa Norte,060109,016038,021,11,0,90.5339584350586,1,Primaria Incompleta,Mujer,62,Pobre Extremo
Costa Norte,060109,016038,022,11,0,90.5339584350586,1,Sin Nivel,Hombre,69,Pobre Extremo
Costa Norte,060109,016038,022,11,0,90.5339584350586,1,Sin Nivel,Mujer,69,Pobre Extremo
Costa Norte,060109,016038,023,11,0,90.5339584350586,1,Sin Nivel,Hombre,32,Pobre Extremo
Costa Norte,060109,016038,023,11,0,90.5339584350586,1,Primaria Incompleta,Mujer,37,Pobre Extremo
Costa Norte,060109,016038,024,11,0,90.5339584350586,1,Secundaria Completa,Hombre,30,Pobre Extremo
Costa Norte,060109,016038,024,11,0,90.5339584350586,1,Primaria Completa,Mujer,32,Pobre Extremo
Costa Norte,060109,016038,041,11,0,90.5339584350586,1,Primaria Incompleta,Mujer,60,Pobre No Extremo
Costa Norte,060109,016038,042,11,0,90.5339584350586,1,Primaria Completa,Hombre,42,Pobre No Extremo
Costa Norte,060109,016038,042,11,0,90.5339584350586,1,Sin Nivel,Mujer,42,Pobre No Extremo
Costa Norte,060109,016038,043,11,0,90.5339584350586,1,Sin Nivel,Mujer,77,Pobre Extremo
Costa Norte,060407,016039,073,11,0,104.173187255859,1,Primaria Completa,Hombre,63,Vulnerable No Pobre
Costa Norte,060407,016039,073,11,0,104.173187255859,1,Primaria Incompleta,Mujer,58,Vulnerable No Pobre
Costa Norte,060407,016039,074,11,0,104.173187255859,1,Primaria Incompleta,Hombre,62,Pobre Extremo
Costa Norte,060407,016039,074,11,0,104.173187255859,1,Primaria Incompleta,Mujer,66,Pobre Extremo
Costa Norte,060407,016039,075,11,0,104.173187255859,1,Primaria Completa,Hombre,81,Vulnerable No Pobre
Costa Norte,060407,016039,207,11,0,104.173187255859,1,Primaria Incompleta,Mujer,51,Vulnerable No Pobre
Costa Norte,060407,016039,208,11,0,104.173187255859,1,Sin Nivel,Mujer,56,Vulnerable No Pobre
Costa Norte,060407,016039,209,11,0,104.173187255859,1,Sin Nivel,Mujer,73,Pobre No Extremo
Costa Norte,060407,016039,209,11,0,104.173187255859,1,Primaria Completa,Mujer,39,Pobre No Extremo
Costa Norte,060407,016039,210,11,0,104.173187255859,1,Primaria Incompleta,Mujer,70,Pobre Extremo
Costa Norte,060407,016039,213,11,0,104.173187255859,1,Primaria Incompleta,Hombre,68,Vulnerable No Pobre
Costa Norte,060407,016039,213,11,0,104.173187255859,1,Primaria Completa,Mujer,61,Vulnerable No Pobre
Costa Norte,060418,016040,002,11,0,90.5339584350586,1,Sin Nivel,Hombre,66,Vulnerable No Pobre
Costa Norte,060418,016040,002,11,0,90.5339584350586,1,Sin Nivel,Mujer,62,Vulnerable No Pobre
Costa Norte,060418,016040,002,11,0,90.5339584350586,1,Superior No Universitaria Completa,Mujer,35,Vulnerable No Pobre
Costa Norte,060418,016040,002,11,0,90.5339584350586,1,Secundaria Completa,Hombre,31,Vulnerable No Pobre
Costa Norte,060418,016040,025,11,0,90.5339584350586,0,Primaria Completa,Hombre,73,Pobre No Extremo
